start_date,country,area_name,shutdown_type,affected_network,shutdown_extent,ordered_by,actual_cause,shutdown_status
9/11/2013,Turkey,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,Ongoing
1/26/2016,India,Kashmir,Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
2/16/2016,Morocco,nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Other,NA
2/18/2016,Uganda,nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Elections,NA
2/19/2016,India,"Rohtak, Sonipat and Jhajjar (Haryana)",Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
2/22/2016,India,"Bharatpur district, Rajasthan state",Shutdown,"Broadband, Mobile",Full network,Unknown,Protests,NA
2/28/2016,India,Mehasana district,Shutdown,Mobile,Full network,Local government,Information control,NA
2/28/2016,India,Gujarat state,Shutdown,"Broadband, Mobile",Full network,Local government,Unknown,NA
3/17/2016,Saudi Arabia,nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Other,NA
3/18/2016,India,Rhotak and Jajjar districts and others in Haryana state,Shutdown,Mobile,Full network,Unknown,Protests,NA
3/21/2016,Pakistan,Islamabad and Rawalpindi,Shutdown,"Broadband, Mobile",Full network,Executive government,Unknown,NA
3/28/2016,Pakistan,Islamabad,Shutdown,"Broadband, Mobile",Full network,Executive government,Protests,NA
4/1/2016,North Korea,nationwide,Shutdown,"Broadband, Mobile","Full network, Service-based",Executive government,Information control,NA
4/9/2016,Chad,nationwide,Shutdown,"Broadband, Mobile","Full network, Service-based",Executive government,Elections,NA
4/14/2016,India,"Srinagar, Kupwara, Baramulla, Bandipora and Ganderbal  (Kashmir",Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
4/16/2016,India,"Bokaro, Jharkaland state",Shutdown,"Broadband, Mobile",Full network,Local government,Unknown,NA
4/17/2016,India,"Ahmedabad, Mehsana, Surat and Rajkot districts in Gujarat state",Shutdown,Mobile,Full network,Local government,Political instability,NA
5/2/2016,Brazil,nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Other,NA
5/11/2016,Uganda,nationwide,Shutdown,"Broadband, Mobile","Full network, Service-based",Executive government,Elections,NA
5/14/2016,Viet Nam,"Hanoi, Saigon",Shutdown,"Broadband, Mobile",Service-based,Executive government,Protests,NA
5/16/2016,Iraq,nationwide (except Kurdistan),Shutdown,"Broadband, Mobile",Full network,Executive government,Political instability,NA
5/16/2016,India,Azamgarh (Uttar Pradesh),Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
5/22/2016,Viet Nam,nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Other,NA
5/30/2016,Ethiopia,Nationwide,Shutdown,"Broadband, Mobile",Full network,Executive government,Protests,NA
6/1/2016,Syrian Arab Republic,Nationwide,Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
6/4/2016,India,"Sonepat and Rohtak districts, Haryana state",Shutdown,Mobile,Full network,Local government,Protests,NA
6/4/2016,Iraq,Baghdad,Shutdown,"Broadband, Mobile",Service-based,Local government,Protests,NA
6/15/2016,India,Jammu,Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
6/19/2016,Algeria,nationwide,Shutdown,"Broadband, Mobile","Full network, Service-based",Executive government,Unknown,NA
6/21/2016,Pakistan,FATA,Shutdown,"Broadband, Mobile",Full network,Unknown,Conflict,NA
6/22/2016,India,Poonch,Shutdown,"Broadband, Mobile",Full network,Local government,Political instability,NA
6/22/2016,India,Jammu,Shutdown,"Broadband, Mobile",Full network,Local government,Unknown,NA
6/23/2016,Bahrain,Duraz and neighboring villages along Budaiya Road,Shutdown,"Broadband, Mobile",Full network,Executive government,Protests,Ongoing
6/28/2016,Turkey,nationwide,Throttle,"Broadband, Mobile",Service-based,Executive government,Political instability,NA
6/30/2016,India,Barmer district and Jaisalmer district in Rajasthan state,Shutdown,Mobile,Full network,Local government,Political instability,NA
7/6/2016,Zimbabwe,Harare,Shutdown,"Broadband, Mobile",Service-based,Unknown,Protests,NA
7/7/2016,India,Kashmir,Shutdown,"Broadband, Mobile",Full network,Local government,Political instability,NA
7/9/2016,India,"Anantnag city in Anantnag district in Kashmir Valley, Shopian city in Shopian district in Kashmir Valley, Pulwama city (aka Pulgam) in Pulwama district in Kashmir Valley, and Sopore city in Baramulla district in Kashmir Valley, areas of Pulwama district in Jammu region (outside of Kashmir Valley, all in Jammu & Kashmir state",Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
7/11/2016,Ethiopia,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Unknown,NA
7/15/2016,Turkey,nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Conflict,NA
7/19/2016,Brazil,nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Other,NA
7/19/2016,Libya,"Misurata, Zliten and Al-Khamis",Throttle,"Broadband, Mobile",Service-based,Unknown,Political instability,NA
7/20/2016,Syrian Arab Republic,Raqqa,Shutdown,"Broadband, Mobile",Full network,Non-government,Information control,NA
7/31/2016,Syrian Arab Republic,nationwide,Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
8/1/2016,Bangladesh,Dhaka,Shutdown,"Broadband, Mobile",Full network,Executive government,Unknown,NA
8/5/2016,India,Jammu,Shutdown,"Broadband, Mobile",Service-based,Local government,Protests,NA
8/6/2016,India,"Saran district, Bihar state",Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
8/7/2016,Ethiopia,Oromia,Shutdown,"Broadband, Mobile",Service-based,Executive government,Protests,NA
8/13/2016,India,"All of Kashmir division (within Jammu & Kashmir state) except neighborhoods of Bemina, Lal Chowk and Sonawar in Srinagar city in Srinagar district",Shutdown,Mobile,Full network,Local government,Protests,NA
8/14/2016,Pakistan,"Cities of Lahore , Karachi , Islamabad , Rawalpindi , Faisalabad , Multan , Gujranwala , Quetta , Peshawar , Sialkot , Mianwali , Sargodha , Sukkur , Bahawalpur , Jhang , Gujrat , Muzzafarabad",Shutdown,"Broadband, Mobile",Full network,Executive government,Unknown,NA
8/18/2016,Mali,nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Protests,NA
8/28/2016,Gabon,nationwide,Throttle,"Broadband, Mobile",Service-based,Executive government,Protests,NA
8/31/2016,Uzbekistan,nationwide,Throttle,"Broadband, Mobile",Service-based,Executive government,Political instability,NA
9/5/2016,Pakistan,"Islamabad, Rawalpindi",Shutdown,"Broadband, Mobile",Full network,Executive government,Unknown,NA
9/12/2016,India,Kashmir division in Jammu & Kashmir State,Shutdown,"Broadband, Mobile",Full network,Unknown,Political instability,NA
9/15/2016,Indonesia,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,Ongoing
9/16/2016,India,"Bhilwara district, Rajasthan state",Shutdown,"Broadband, Mobile",Full network,Local government,Political instability,NA
9/17/2016,Egypt,Sinai peninsula,Shutdown,"Broadband, Mobile",Full network,Unknown,Protests,NA
9/18/2016,India,Bijnor district in Uttar Pradesh state,Shutdown,"Broadband, Mobile",Full network,Unknown,Political instability,NA
10/8/2016,Turkey,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,NA
10/10/2016,India,Nashik district in Maharashtra state,Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
10/11/2016,Pakistan,Federal capital (Islamabad/Rawalpindi) and all provincial capitals,Shutdown,"Broadband, Mobile",Full network,Executive government,Political instability,NA
10/15/2016,India,Various districts in Bihar,Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
10/16/2016,Montenegro,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Elections,NA
10/26/2016,Syrian Arab Republic,Aleppo,Shutdown,Broadband,Full network,Unknown,Other,NA
10/26/2016,Turkey,nationwide,Shutdown,"Broadband, Mobile",Full network,Unknown,Protests,NA
10/28/2016,United Arab Emirates,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ongoing
11/21/2016,Pakistan,"Cities of Karachi, Sukkur, Hyderabad, Kotli, Multan, Lahore, DI Khan, Rawalpindi, Rawalakot, Sargodha, Jafferabad, Jhal Magsi, Bagh, Muzaffarabad, Peshawar, Bannu, Gilgit , Bahawalpur, Quetta, Multan, Karachi, Islamabad, Peshawar, and Faisalabad",Shutdown,Mobile,Full network,Executive government,Unknown,NA
11/29/2016,Pakistan,Rawalpindi,Shutdown,Mobile,Full network,Executive government,Unknown,NA
11/30/2016,Gambia,nationwide,Shutdown,"Broadband, Mobile",Full network,Executive government,Elections,NA
12/8/2016,India,Kashmir,Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
12/13/2016,India,"Bhilwara district, Rajasthan state",Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
12/18/2016,India,Manipur,Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
12/18/2016,Democratic Republic of the Congo,nationwide,Throttle,"Broadband, Mobile",Service-based,Executive government,Protests,NA
