start_date_type,start_date,country,geo_scope,area_name,shutdown_type,affected_network,shutdown_extent,ordered_by,decision_maker,actual_cause,actual_cause_details,info_source,info_source_link,shutdown_status,end_date,duration,gov_justification,gov_just_details,gov_ack,legal_just,legal_method,gov_ack_source,gov_ack_quote,facebook_affected,twitter_affected,whatsapp_affected,instagram_affected,telegram_affected,other_affected,sms_affected,phonecall_affected,telcos_involved,telco_ack,telco_ack_source,telco_ack_quote,election,violence,hr_abuse_reported,users_targeted,users_target_detail,users_notified,econ_impact,event,an_link,region
Actual,9/11/2013,Turkey,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Turkey's Directorate of Telecommunication following Istanbul's Criminal Court of Peace,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=TR&since=2023-01-01&until=2023-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://kaosgl.org/en/single-news/grindr-ban-in-turkey-taken-to-constitutional-court,Ongoing,,,Other,"""Protective measure""",Yes,Yes,,https://www.independent.co.uk/tech/gay-hookup-app-grindr-fights-back-against-turkish-ban-with-threat-of-legal-action-8829360.html,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Turkey since Sep. 11, 2013, and is ongoing into 2024. The block was in place at the start of our STOP documentation on Jan. 1, 2016.",,MENA
Actual,9/15/2016,Indonesia,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Communications Ministry following a request from police,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=ID&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://time.com/4496531/indonesia-lgbt-grinder/,Ongoing,,,Other,"Authorities were targeting services that promoted ""sexual deviancy""",Yes,No,,https://tribune.com.pk/story/1182120/indonesia-blocks-gay-apps-sexual-deviancy/,,No,No,No,No,No,"Grindr, Blued, BoyAhoy",No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr and at least two other apps have been blocked in Indonesia since Sep. 15, 2016, and are ongoing into 2024.",,APAC
Estimated,10/28/2016,United Arab Emirates,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=AE&since=2016-01-01&until=2016-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=AE&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Unknown,,No,No,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in the United Arab Emirates since at least Oct. 28, 2016, and the block is ongoing into 2024. The blocking is currently implemented by means of TLS interference.",,MENA
,1/1/2017,Congo (Democratic Republic of the),"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Full network,Executive government,,Protests,,News media article,https://www.aljazeera.com/news/2017/12/drc-blocks-internet-anti-kabila-protests-planned-171231055012918.html,,12/30/2017,-363,National security/ Counter-terrorism,,,,,,,,,,,,,Yes,,,,,,,,,,,,,"Protests demanding the President Kabila step down, after his government delayed elections.",,Africa
,1/14/2017,Philippines,"It only affected one city, county, or village",Cebu,Shutdown,"Broadband, Mobile",Full network,Local government,,Other,,News media article,http://cebudailynews.inquirer.net/118972/zero-signal-ntc-agrees-shutdown-signal-sinulog-grand-parade,,1/15/2017,1,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,Sinulog festival,,APAC
,1/17/2017,Cameroon,"It affected more than one city in the same state, province, or region",Angolophone region,Shutdown,"Broadband, Mobile",Full network,Executive government,,Protests,,News media article,http://www.cnn.com/2017/02/03/africa/internet-shutdown-cameroon/index.html,,4/20/2017,93,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,"~$48,000 / day",Protests in Anglophone region.,https://act.accessnow.org/ea-action/action?ea.client.id=1921&ea.campaign.id=62870&ea.tracking.id=tile,Africa
,1/19/2017,India,"It only affected one city, county, or village",Wokha (Nagaland),Shutdown,Mobile,Full network,Local government,,Elections,,News media article,https://issuu.com/nagalandpost90/docs/january_22__2017,,2/20/2017,32,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,Violence in Phek district.,,APAC
,1/29/2017,India,"It affected more than one city in the same state, province, or region",Jhajjar district in Haryana state,Shutdown,Mobile,Full network,Local government,,Protests,,News media article,http://indianexpress.com/article/india/jat-agitations-mobile-internet-services-blocked-in-jhajjar-4498224/,,1/29/2017,0,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,"Mass protest by the Jat community calling for classification as OBC or Other Backwards Class (a group which is acknowledged to be disadvantaged by the government), which would make them eligible for affirmative action.",,APAC
,1/30/2017,India,"It affected more than one city in the same state, province, or region",Nagaland state (entire state),Shutdown,"Broadband, Mobile",Full network,Unknown,,Unknown,,News media article,"http://morungexpress.com/firm-tyranny-dnyf/, https://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDExMDE4NA==",,2/20/2017,21,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,1/31/2017,India,"It affected more than one city in the same state, province, or region","Rohtak, Bhiwani, Hisar, Sonipat, and Panipat districts in Haryana state",Shutdown,Broadband,Full network,Local government,,Protests,,News media article,http://www.ptinews.com/news/8352337_Jat-stir-enters-third-day--remains-peaceful.html,,,,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,,,,,,,,,,,,,,,,,,,,,,,,,"Mass protest by the Jat community calling for classification as OBC or Other Backwards Class (a group which is acknowledged to be disadvantaged by the government), which would make them eligible for affirmative action.",,APAC
