start_date_type,start_date,country,geo_scope,area_name,shutdown_type,affected_network,shutdown_extent,ordered_by,decision_maker,actual_cause,actual_cause_details,info_source,info_source_link,shutdown_status,end_date,duration,gov_justification,gov_just_details,gov_ack,legal_just,legal_method,gov_ack_source,gov_ack_quote,facebook_affected,twitter_affected,whatsapp_affected,instagram_affected,telegram_affected,other_affected,sms_affected,phonecall_affected,telcos_involved,telco_ ack,telco_ack_source,telco_ack_quote,election,violence,hr_abuse_reported,users_targeted,users_target_detail,users_notified,econ_impact,event,an_link,region
Actual,9/11/2013,Turkey,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Turkey's Directorate of Telecommunication following Istanbul's Criminal Court of Peace,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=TR&since=2023-01-01&until=2023-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://kaosgl.org/en/single-news/grindr-ban-in-turkey-taken-to-constitutional-court,Ongoing,,,Other,"""Protective measure""",Yes,Yes,,https://www.independent.co.uk/tech/gay-hookup-app-grindr-fights-back-against-turkish-ban-with-threat-of-legal-action-8829360.html,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Turkey since Sep. 11, 2013, and is ongoing into 2024. The block was in place at the start of our STOP documentation on Jan. 1, 2016.",,MENA
Actual,6/12/2016,Pakistan,"It affected more than one city in the same state, province, or region",Federally Administered Tribal Area (FATA),Shutdown,Mobile,Full network,Executive government,The Pakistan Telecommunication Authority (PTA),Conflict,Conflict between Afghanistan and Pakistan forces,News media article,"https://slate.com/technology/2017/08/the-internet-has-been-shut-down-in-pakistans-fata-for-more-than-a-year.html; https://www.digitalrightsmonitor.pk/mobile-internet-restored-in-former-fatas-kurram-agency/#:~:text=The%20internet%20in%20seven%20districts,border%20joining%20Pakistan%20and%20Afghanistan.;",Ended,12/28/2021,2026,National security/ Counter-terrorism,"In January 2021, while speaking at a rally in Waziristan, Prime Minister Imran Khan announced that 3G/4G internet services will be restored in the district from that day. He said at the ceremony, “I spoke to my security agencies […] we agreed that we need to be cognizant of terrorists using [3G/4G] facility. Despite this, we also thought that it is the need of our young people and that is why this service will become operational from today.”",Yes,Unknown,,https://www.pta.gov.pk/en/media-center/single-media/data-services-restored-in-district-kurram-291221,"In pursuance of Government’s vision of providing internet services across the country, after review of security situation by concerned forums, data services have been restored in District Kurram.

It is pertinent to mention that data services have been restored in six (6) out of seven (7) districts of Erstwhile FATA.

It may be further added the the restoration of data services will help residents to fulfill their educational, health, commerce and communication needs.",No,No,No,No,No,,No,No,"Pakistan: Jazz (Global Telecom), Pakistan: PTCL, Pakistan: Qubee (Augere), Pakistan: Special Communications Organization, Pakistan: Telenor, Pakistan: Wateen Telecom (Abu Dhabi), Pakistan: wi-tribe, Pakistan: Zong (China Mobile)",Unknown,,,No,Unknown,Unknown,"Students, people need healthcare during COVID, and small businesses","While many students staged protests to demand internet access for online classes, a student of National University of Modern Languages (NUML) petitioned the Islamabad High Court (IHC) in April 2020 to restore access in former FATA. The IHC ordered PTA to enable 3G/4G broadband internet as a response, but the Federal Government sought more time to assess security conditions before the restoration. The Court, at the time, said, “This is not occupied Kashmir, therefore people of these areas are free to exercise their constitutionally guaranteed fundamental rights.” It further observed, “It appears that there is no refusal on part of the Federal Government to extend the internet facilities to the inhabitants of [FATA] […]. However, it appears that due to the exceptional conditions that had prevailed in the past, the respective Governments and the Pakistan Telecommunication Authority may require time to develop the infrastructure in some affected areas.”",Unknown,,,https://www.accessnow.org/pakistanis-long-suffered-internet-shutdowns-last-voices-heard/,APAC
Actual,9/15/2016,Indonesia,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Communications Ministry following a request from police,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=ID&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://time.com/4496531/indonesia-lgbt-grinder/,Ongoing,,,Other,"Authorities were targeting services that promoted ""sexual deviancy""",Yes,No,,https://tribune.com.pk/story/1182120/indonesia-blocks-gay-apps-sexual-deviancy/,,No,No,No,No,No,"Grindr, Blued, BoyAhoy",No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr and at least two other apps have been blocked in Indonesia since Sep. 15, 2016, and are ongoing into 2024.",,APAC
Estimated,10/28/2016,United Arab Emirates,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=AE&since=2016-01-01&until=2016-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=AE&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Unknown,,No,No,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in the United Arab Emirates since at least Oct. 28, 2016, and the block is ongoing into 2024. The blocking is currently implemented by means of TLS interference.",,MENA
Estimated,2/9/2017,Saudi Arabia,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=SA&since=2017-01-01&until=2017-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=SA&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Unknown,,No,No,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Saudi Arabia since at least Feb. 9, 2017, and the block is ongoing into 2024. The blocking is currently implemented by means of TLS interference.",,MENA
Estimated,5/12/2017,Iran (Islamic Republic of),"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=IR&since=2017-01-01&until=2017-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=IR&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Unknown,,No,,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Iran since at least May 12, 2017, and is ongoing into 2024.",,MENA
,3/28/2018,Chad,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Service-based,Executive government,The President,Protests,Political Instability,News media article,"https://qz.com/1247234/chad-has-blocked-social-messaging-apps-bbc-amid-political-and-economic-anxiety/

https://qz.com/africa/1667263/chads-idriss-deby-unblocks-social-media-after-record-shutdown/",Ended,7/13/2019,472,National security/ Counter-terrorism,,Yes,Unknown,https://internetwithoutborders.org/international-campaign-to-bring-back-internet-in-chad/,,"""For some months, security requirements led the government to toughen access conditions and control measures for electronic communications,"" Deby said in a closing address to a digital forum in the capital N'Djamena.
""These measures were imposed in a context of terrorist threats (but)"" the current situation "" leads me ... to instruct the firms concerned to lift immediately the restriction on electronic communications,"" said Deby.",Yes,Yes,Yes,Yes,No,"YouTube, Viber",No,,"Tigo, Airtel",Yes,,,No,Unknown,Unknown,Others,,Unknown,,"The cutoff comes after a national conference, boycotted by the opposition, recommended constitutional changes that could extend president Idriss Deby’s rule until 2033.",,Africa
,10/17/2018,Yemen,"It only affected one city, county, or village",Hodeidah,Shutdown,"Broadband, Mobile",Full network,Non-government,Unknown,Unknown,,News media article,https://almushahid.net/41057/,Ended,3/17/2019,151,Sabotage/ Third-party Action,,Yes,Unknown,,,,,,,,,,No,,,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,,,MENA
,12/20/2018,Jordan,"It affected locations in more than one state, province, or region",National,Throttle,"Broadband, Mobile",Service-based,Executive government,,Protests,,News media article,https://jordanopensource.org/technical-report/?fbclid=IwAR3l1XL4z7gqEOj8hRD9eVgzO-x04OBm1ECb6F7h530-lr9bKBl_eVPjYdU&utm_source=Social+Media+Exchange+%28SMEX%29+Newsletter&utm_campaign=eb2727b27b-EMAIL_CAMPAIGN_2019_07_11_10_20&utm_medium=email&utm_term=0_de3253d538-eb2727b27b-77191031,Ended,1/10/2019,21,None,,No,Unknown,,,,Yes,No,No,No,No,Facebook Livestream,No,,Zain Jordan,No,,,No,Yes,Unknown,Others,,No,,"In December 2018, anti-austerity protests erupted in Jordan against a controversial fiscal reform bill. The protests ensued once a week for several weeks thereafter. Amid the protests, users in Jordan reported that they were unable to view live-streaming from Facebook. But they also reported that viewing live-streaming was otherwise possible when protests were not taking place.",,MENA
,12/21/2018,Sudan,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Service-based,Executive government,The President,Protests,Economic crisis triggered protests,News media article,https://www.reuters.com/article/us-sudan-protests-internet/sudan-restricts-social-media-access-to-counter-protest-movement-idUSKCN1OW0Z7,Ended,2/26/2019,67,Public safety/ Quell unrest/ Restore public order,,Yes,Unknown,,,"The head of Sudan’s National Intelligence and Security Service, Salah Abdallah, told a rare news conference on Dec. 21: “There was a discussion in the government about blocking social media sites and in the end it was decided to block them.”",Yes,Yes,Yes,Yes,No,,,,"MTN, Sudani (Sudatel), Zain",Unknown,,,No,Yes,Yes,Others,,Unknown,,"Sudanese authorities are blocking access to popular social media platforms used to organize and broadcast National anti-government protests triggered by an economic crisis, internet users say.",https://www.accessnow.org/sudan-bangladesh-drc-gabon-start-2019-with-major-digital-rights-violations/,MENA
